[ 2025-12-27 10:53:26,575 ] 19 root - INFO - Initiate the data ingestion
[ 2025-12-27 10:53:31,507 ] 68 root - INFO - Peformed train test split on the dataframe
[ 2025-12-27 10:53:31,508 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Igestion class
[ 2025-12-27 10:53:31,508 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 10:53:31,577 ] 78 root - INFO - Exported train and test file path.
[ 2025-12-27 10:53:31,578 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-27 10:53:31,598 ] 26 root - INFO - Initiate the data validation
[ 2025-12-27 10:53:31,646 ] 43 root - INFO - Required number of columns:2
[ 2025-12-27 10:53:31,648 ] 45 root - INFO - Data frame has columns:31
[ 2025-12-27 10:53:31,648 ] 43 root - INFO - Required number of columns:2
[ 2025-12-27 10:53:31,648 ] 45 root - INFO - Data frame has columns:31
[ 2025-12-27 10:53:31,807 ] 29 root - INFO - Data Validation Completed
[ 2025-12-27 10:53:31,808 ] 33 root - INFO - Data Transformation Started
[ 2025-12-27 10:53:31,808 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 10:53:31,808 ] 66 root - INFO - Starting data transformation
