[ 2026-01-03 10:41:03,105 ] 24 root - INFO - Initiate the data ingestion
[ 2026-01-03 10:41:07,636 ] 68 root - INFO - Peformed train test split on the dataframe
[ 2026-01-03 10:41:07,636 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Igestion class
[ 2026-01-03 10:41:07,637 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 10:41:07,716 ] 78 root - INFO - Exported train and test file path.
[ 2026-01-03 10:41:07,716 ] 26 root - INFO - Data Initiation Completed
[ 2026-01-03 10:41:07,725 ] 31 root - INFO - Initiate the data validation
[ 2026-01-03 10:41:07,777 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 10:41:07,778 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 10:41:07,778 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 10:41:07,778 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 10:41:07,941 ] 33 root - INFO - Data Validation Completed
[ 2026-01-03 10:41:07,941 ] 37 root - INFO - Data Transformation Started
[ 2026-01-03 10:41:07,941 ] 70 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 10:41:07,941 ] 72 root - INFO - Starting data transformation
[ 2026-01-03 10:41:07,974 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 10:41:07,975 ] 57 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 10:41:07,993 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 10:41:07,996 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 10:41:07,996 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 10:41:07,999 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 10:41:08,001 ] 41 root - INFO - Data Transformation Completed
[ 2026-01-03 10:41:08,001 ] 43 root - INFO - Model Training sstared
[ 2026-01-03 10:46:21,439 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 10:46:21,440 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 10:46:21,441 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_03_2026_10_40_59\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990941475826972, precision_score=0.9884263959390863, recall_score=0.9934693877551021), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.990941475826972, precision_score=0.9884263959390863, recall_score=0.9934693877551021))
[ 2026-01-03 10:46:21,445 ] 48 root - INFO - Model Training artifact created
